label imagenumber objectnumber
1 24698 10
1 7319 92
1 8607 79
1 5602 77
1 14046 62
1 3341 15
1 33100 109
1 5357 41
1 6365 18
1 7406 23
1 22691 90
1 24897 24
1 25676 22
1 5938 9
1 17243 213
1 1087 100
1 17186 24
1 5666 27
1 26627 30
1 3734 58
1 14329 22
1 39180 24
1 39180 7
1 39180 23
1 39180 66
1 39180 33
1 39180 68
1 39180 17
1 39179 7
1 39179 21
1 39179 17
1 39179 1
1 39179 11
1 17673 12
1 17673 13
1 17673 25
1 17673 9
1 17673 19
1 17673 15
1 17673 26
1 17673 7
1 17674 8
1 17674 11
1 17674 25
1 17674 21
1 17674 32
1 17674 16
1 17674 12
1 17674 24
1 17674 17
1 17674 4
1 17674 18
1 17674 30
1 17675 25
1 17675 24
1 17675 22
1 17675 27
1 17675 28
1 17675 26
1 17675 14
1 17675 1
1 17675 4
1 17675 12
1 17675 13
1 17676 23
1 17676 10
1 17676 25
1 17676 16
1 17676 24
1 39177 25
1 39177 4
1 39177 14
1 39177 8
1 39177 9
1 39177 21
1 39177 23
1 39178 15
1 39178 28
1 8367 20
1 3665 12
1 3665 37
1 3665 22
1 3665 32
1 3666 47
1 3666 13
1 3667 5
1 3667 12
1 3668 10
1 3668 38
1 3668 40
1 3668 18
1 25169 29
1 25169 25
1 25170 3
1 25170 27
1 25170 17
1 25171 9
1 25172 13
1 25172 24
1 5341 61
1 26847 27
2 10738 9
2 10738 39
2 10738 14
2 10738 41
2 10738 6
2 10738 8
2 23068 21
2 23068 9
2 23068 27
2 23068 60
2 23068 42
2 23068 47
2 23068 49
2 23068 70
2 23068 75
2 23068 45
2 23068 25
2 23068 34
2 23068 50
2 17949 11
2 37096 510
2 34779 200
2 18759 24
2 20700 30
2 23731 223
2 35930 404
2 36521 215
2 23880 223
2 10366 163
2 33149 361
2 16233 105
2 23353 71
2 17045 73
2 33160 611
2 30438 14
2 13192 209
2 34066 297
2 32390 93
2 39221 253
2 13383 82
2 29602 150
2 23731 51
2 4401 21
2 41623 681
2 9444 46
2 41997 75
2 8555 28
2 24713 3
2 23419 534
2 4334 149
2 35878 92
2 37674 218
2 20196 30
2 5687 191
2 23137 148
2 16252 377
2 23507 516
2 23432 325
2 32348 395
2 39103 304
2 4648 24
2 14892 266
2 20672 331
2 20669 132
2 38808 239
2 41797 497
2 37991 452
2 37635 109
2 23780 118
2 31352 461
2 41962 182
2 23181 148
2 24321 107
2 15363 100
2 10084 135
2 10522 37
2 39676 56
2 38296 277
2 32392 22
2 36649 332
2 20677 155
2 23755 282
2 41649 50
2 5631 2
2 454 180
2 34723 175
2 7086 188
2 23396 381
2 25269 695
2 20631 59
2 17421 126
2 13279 240
2 38298 216
2 16912 184
2 12745 267
2 23503 456
2 31910 121
2 26184 58
2 13617 259
2 27583 35
2 38527 116
2 32892 201
2 7055 56
3 42509 136
3 10827 119
3 12715 156
3 42474 296
3 41898 163
3 41898 175
3 26615 98
3 1679 97
3 24322 363
3 13481 62
3 24245 132
3 29055 232
3 29332 266
3 23732 61
3 37701 242
3 38723 331
3 40922 466
3 40171 569
3 27461 176
3 13464 451
3 32706 29
3 19878 87
3 20001 77
3 30959 36
3 42687 174
3 12399 164
3 20837 178
3 41544 957
3 21324 36
3 42595 377
3 37261 228
3 18252 150
3 39246 126
3 37941 455
3 40353 26
3 41901 453
3 37339 56
3 28545 259
3 22509 142
3 26264 334
3 40355 222
3 40355 210
3 36925 104
3 1861 174
3 1861 221
3 41962 550
3 41997 493
3 16381 184
3 34665 256
3 42707 18
3 42707 418
3 42705 281
3 42705 158
3 13463 216
3 23155 721
3 9801 121
3 33592 258
3 34800 14
3 13295 375
3 41592 384
3 38270 57
3 37918 182
3 36692 331
3 12319 558
3 18460 414
3 35816 450
3 7990 284
3 10620 40
3 30553 207
3 22054 333
3 39571 118
