label table imagenumber objectnumber
+1 0 24698 10
+1 0 39180 14
+1 0 7319 92
+1 0 8607 79
+1 0 5602 77
+1 0 14046 62
+1 0 3341 15
+1 0 33100 109
+1 0 5357 41
+1 0 6365 18
+1 0 7406 23
+1 0 22691 90
+1 0 24897 24
+1 0 25676 22
+1 0 5938 9
+1 0 17243 213
+1 0 1087 100
+1 0 17186 24
+1 0 5666 27
+1 0 26627 30
+1 0 3734 58
+1 0 14329 22
+1 0 39180 37
+1 0 39180 24
+1 0 39180 37
+1 0 39180 50
+1 0 39180 7
+1 0 39180 14
+1 0 39180 23
+1 0 39180 66
+1 0 39180 33
+1 0 39180 68
+1 0 39180 17
+1 0 39180 50
+1 0 39179 7
+1 0 39179 21
+1 0 39179 17
+1 0 39179 1
+1 0 39179 19
+1 0 39179 11
+1 0 17673 12
+1 0 17673 13
+1 0 17673 25
+1 0 17673 9
+1 0 17673 19
+1 0 17673 15
+1 0 17673 26
+1 0 17673 7
+1 0 17674 8
+1 0 17674 11
+1 0 17674 25
+1 0 17674 21
+1 0 17674 5
+1 0 17674 20
+1 0 17674 32
+1 0 17674 20
+1 0 17674 16
+1 0 17674 12
+1 0 17674 24
+1 0 17674 17
+1 0 17674 5
+1 0 17674 4
+1 0 17674 18
+1 0 17674 30
+1 0 17675 25
+1 0 17675 24
+1 0 17675 22
+1 0 17675 27
+1 0 17675 28
+1 0 17675 26
+1 0 17675 14
+1 0 17675 1
+1 0 17675 4
+1 0 17675 12
+1 0 17675 13
+1 0 17676 23
+1 0 17676 10
+1 0 17676 25
+1 0 17676 16
+1 0 17676 24
+1 0 39177 25
+1 0 39177 4
+1 0 39177 32
+1 0 39177 14
+1 0 39177 8
+1 0 39177 32
+1 0 39177 9
+1 0 39177 21
+1 0 39177 23
+1 0 39178 15
+1 0 39178 28
+1 0 8367 20
+1 0 3665 12
+1 0 3665 37
+1 0 3665 22
+1 0 3665 32
+1 0 3666 47
+1 0 3666 13
+1 0 3667 5
+1 0 3667 12
+1 0 3668 10
+1 0 3668 38
+1 0 3668 40
+1 0 3668 18
+1 0 25169 29
+1 0 25169 25
+1 0 25170 8
+1 0 25170 3
+1 0 25170 27
