label imagenumber objectnumber
+1 24698 10
+1 39180 14
+1 7319 92
+1 8607 79
+1 5602 77
+1 14046 62
+1 3341 15
+1 33100 109
+1 5357 41
+1 6365 18
+1 7406 23
+1 22691 90
+1 24897 24
+1 25676 22
+1 5938 9
+1 17243 213
+1 1087 100
+1 17186 24
+1 5666 27
+1 26627 30
+1 3734 58
+1 14329 22
+1 39180 37
+1 39180 24
+1 39180 37
+1 39180 50
+1 39180 7
+1 39180 14
+1 39180 23
+1 39180 66
+1 39180 33
+1 39180 68
+1 39180 17
+1 39180 50
+1 39179 7
+1 39179 21
+1 39179 17
+1 39179 1
+1 39179 19
+1 39179 11
+1 17673 12
+1 17673 13
+1 17673 25
+1 17673 9
+1 17673 19
+1 17673 15
+1 17673 26
+1 17673 7
+1 17674 8
+1 17674 11
+1 17674 25
+1 17674 21
+1 17674 5
+1 17674 20
+1 17674 32
+1 17674 20
+1 17674 16
+1 17674 12
+1 17674 24
+1 17674 17
+1 17674 5
+1 17674 4
+1 17674 18
+1 17674 30
+1 17675 25
+1 17675 24
+1 17675 22
+1 17675 27
+1 17675 28
+1 17675 26
+1 17675 14
+1 17675 1
+1 17675 4
+1 17675 12
+1 17675 13
+1 17676 23
+1 17676 10
+1 17676 25
+1 17676 16
+1 17676 24
+1 39177 25
+1 39177 4
+1 39177 32
+1 39177 14
+1 39177 8
+1 39177 32
+1 39177 9
+1 39177 21
+1 39177 23
+1 39178 15
+1 39178 28
+1 8367 20
+1 3665 12
+1 3665 37
+1 3665 22
+1 3665 32
+1 3666 47
+1 3666 13
+1 3667 5
+1 3667 12
+1 3668 10
+1 3668 38
+1 3668 40
+1 3668 18
+1 25169 29
+1 25169 25
+1 25170 8
+1 25170 3
+1 25170 27
+1 25170 17
+1 25171 9
+1 25172 13
+1 25172 24
+1 5341 61
+1 26847 27
-1 20864 550
-1 5344 44
-1 9436 246
-1 27498 78
-1 3677 22
-1 14643 173
-1 19079 34
-1 7068 74
-1 25207 119
-1 2624 76
-1 510 7
-1 22013 47
-1 22113 161
-1 8234 63
-1 22728 3
-1 3402 23
-1 17145 89
-1 19280 60
-1 27075 14
-1 15985 117
-1 6857 56
-1 23666 82
-1 23350 54
-1 5478 109
-1 37360 152
-1 37336 16
-1 1284 48
-1 3510 3
-1 19177 35
-1 11600 3
-1 4417 35
-1 9822 26
-1 8854 43
-1 3335 2
-1 22223 57
-1 3851 4
-1 6488 9
-1 10644 33
-1 39023 120
-1 4074 118
-1 37385 117
-1 3734 50
-1 11562 73
-1 20482 331
-1 17212 80
-1 25318 33
-1 5731 19
-1 13195 22
-1 16165 63
-1 37386 22
-1 8367 35
-1 4376 42
-1 16076 113
-1 34281 57
-1 17064 215
-1 19442 103
-1 34523 124
-1 10198 274
-1 18853 49
-1 3890 28
-1 20980 175
-1 7008 16
-1 14946 39
-1 10031 199
-1 19251 3
-1 5809 72
-1 6052 85
-1 9444 46
-1 5689 60
-1 34498 160
-1 8105 11
-1 14649 71
-1 6748 29
-1 17921 124
-1 26848 12
-1 25380 54
-1 14533 47
-1 16482 129
-1 4166 73
-1 9746 28
-1 10006 129
-1 3528 85
-1 8266 36
-1 25090 6
-1 29819 19
-1 4531 165
-1 9369 21
-1 16370 8
-1 3169 176
-1 28959 9
-1 11558 30
-1 14292 36
-1 1074 25
-1 25299 52
-1 24784 27
-1 24955 28
-1 12966 262
-1 3502 16
-1 7408 1
-1 12114 52
-1 3813 31
-1 420 50
-1 37751 83
-1 7847 245
-1 14513 10
-1 22392 23
-1 2371 102
-1 22823 33
-1 3466 20
-1 15134 126
-1 27315 21
-1 6342 73
-1 32653 33
-1 10644 282
-1 25997 154
-1 9371 100
-1 8732 5
-1 5424 64
-1 8604 59
-1 5396 8
-1 8788 49
-1 19628 11
-1 26848 2
-1 34725 224
-1 4559 66
-1 36062 304
-1 6942 22
-1 38857 165
-1 29698 15
-1 6555 38
-1 35837 52
-1 17641 147
-1 25965 30
-1 9958 38
-1 13104 44
-1 5236 71
-1 26647 280
-1 34693 19
-1 25593 17
-1 68 114
-1 7355 19
-1 4083 54
-1 10463 27
-1 13971 110
-1 22708 117
-1 6364 162
-1 37875 32
-1 26933 209
-1 33097 56
-1 37491 53
-1 31600 20
-1 13222 154
-1 4003 50
-1 3267 43
-1 23167 69
-1 22432 167
-1 6923 8
-1 21827 286
-1 991 33
-1 1118 13
-1 23842 74
-1 6875 27
-1 24928 59
-1 14860 50
-1 27483 24
-1 3735 67
-1 6948 2
-1 12850 48
-1 2438 15
-1 9820 5
-1 10582 47
-1 7249 56
-1 10321 57
-1 16371 22
-1 5705 6
-1 14724 4
-1 24471 575
-1 22136 42
-1 10121 352
-1 31600 35
-1 19546 17
-1 466 99
-1 4535 30
-1 6980 10
-1 14418 22
-1 4975 11
-1 6612 79
-1 8494 34
-1 36040 66
-1 26428 1
-1 2524 281
-1 24011 29
-1 8485 13
-1 14574 21
-1 7099 34
-1 29969 20
-1 39180 5
-1 39180 40
-1 39180 11
-1 39180 27
-1 39180 36
-1 39180 12
-1 39180 67
-1 39180 8
-1 39180 64
-1 39180 55
-1 39180 71
-1 39180 59
-1 39180 57
-1 39180 60
-1 39180 8
-1 39179 15
-1 39179 18
-1 39179 26
-1 39179 13
-1 17673 11
-1 17673 20
-1 17673 5
-1 17673 24
-1 17674 7
-1 17674 2
-1 17674 34
-1 17674 7
-1 17674 2
-1 17674 34
-1 17674 3
-1 17674 2
-1 17674 10
-1 17674 26
-1 17676 9
-1 17676 4
-1 17676 18
-1 39177 6
-1 39177 30
-1 39177 15
-1 39177 30
-1 39177 12
-1 39177 28
-1 39177 10
-1 39177 7
-1 39177 1
-1 39177 20
-1 39178 18
-1 39178 6
-1 39178 11
-1 39178 21
-1 39178 21
-1 39178 18
-1 39178 4
-1 39178 2
-1 39178 8
-1 39178 9
-1 39178 27
-1 12639 100
-1 12421 115
-1 33352 538
-1 27214 34
-1 34196 246
-1 34292 164
-1 23757 47
-1 35364 68
-1 10322 44
-1 27114 140
-1 22584 32
-1 23481 41
-1 17842 123
-1 40194 47
-1 9628 35
-1 23285 123
-1 34223 23
-1 581 36
-1 2256 58
-1 39459 131
-1 339 7
-1 41378 8
-1 28333 31
-1 19131 45
-1 5861 118
-1 25060 16
-1 18488 112
-1 2839 104
-1 27100 17
-1 37570 257
-1 24404 4
-1 1311 64
-1 30290 140
-1 32367 420
-1 28847 66
-1 26601 22
-1 21412 116
-1 40583 53
-1 36761 17
-1 37768 37
-1 23294 367
-1 10698 56
-1 9857 141
-1 23119 374
-1 8414 188
-1 18934 87
-1 17726 161
-1 11252 125
-1 26816 304
-1 516 278
-1 38378 94
-1 37137 27
-1 3665 39
-1 20494 30
-1 20329 54
-1 27797 152
-1 9356 232
-1 4073 53
-1 513 93
-1 31468 114
-1 3386 65
-1 14246 52
-1 27944 33
-1 6548 66
-1 5454 77
-1 28610 7
-1 3915 252
-1 13027 44
-1 11747 19
-1 37822 18
-1 3693 61
-1 23755 214
-1 11098 193
-1 8284 475
-1 23102 79
-1 30058 27
-1 25830 45
-1 6580 302
-1 14643 352
-1 24289 266
-1 9349 10
-1 23520 54
-1 8481 44
-1 27253 2
-1 38029 83
-1 5126 147
-1 91 155
-1 17877 201
-1 27022 303
-1 3665 24
-1 3665 25
-1 3665 36
-1 3665 15
-1 3665 5
-1 3665 9
-1 3665 40
-1 3665 2
-1 3665 4
-1 3665 6
-1 3665 15
-1 3665 3
-1 3665 28
-1 3665 36
-1 3665 25
-1 3665 19
-1 3665 17
-1 3665 43
-1 3666 43
-1 3666 32
-1 3666 35
-1 3666 40
-1 3666 9
-1 3666 25
-1 3666 11
-1 3667 4
-1 3667 7
-1 3667 6
-1 3667 9
-1 3667 1
-1 3667 8
-1 3667 9
-1 3667 14
-1 3667 18
-1 3667 3
-1 3667 17
-1 3668 42
-1 3668 8
-1 25169 36
-1 25169 30
-1 25169 3
-1 25169 16
-1 25170 26
-1 25171 27
-1 25171 17
-1 25171 17
-1 25172 31
-1 25172 43
-1 25187 70
-1 25187 96
-1 25187 57
-1 25187 119
