label imagenumber objectnumber
+1 10738 9
+1 10738 18
+1 10738 5
+1 10738 39
+1 10738 14
+1 10738 18
+1 10738 41
+1 10738 6
+1 10738 5
+1 10738 8
+1 23068 48
+1 23068 21
+1 23068 31
+1 23068 9
+1 23068 27
+1 23068 44
+1 23068 60
+1 23068 42
+1 23068 31
+1 23068 2
+1 23068 58
+1 23068 47
+1 23068 49
+1 23068 70
+1 23068 55
+1 23068 75
+1 23068 45
+1 23068 44
+1 23068 48
+1 23068 25
+1 23068 34
+1 23068 55
+1 23068 58
+1 23068 44
+1 23068 50
+1 23068 2
+1 17949 11
+1 37096 510
+1 34779 200
+1 18759 24
+1 20700 30
+1 23731 223
+1 35930 404
+1 36521 215
+1 23880 223
+1 10366 163
+1 33149 361
+1 16233 105
+1 23353 71
+1 17045 73
+1 33160 611
+1 30438 14
+1 13192 209
+1 34066 297
+1 32390 93
+1 39221 253
+1 13383 82
+1 29602 150
+1 23731 51
+1 4401 21
+1 41623 681
+1 9444 46
+1 41997 75
+1 8555 28
+1 24713 3
+1 23419 534
+1 4334 149
+1 35878 92
+1 37674 218
+1 20196 30
+1 5687 191
+1 23137 148
+1 16252 377
+1 23507 516
+1 23432 325
+1 32348 395
+1 39103 304
+1 4648 24
+1 14892 266
+1 20672 331
+1 20669 132
+1 38808 239
+1 41797 497
+1 37991 452
+1 37635 109
+1 23780 118
+1 31352 461
+1 41962 182
+1 23181 148
+1 24321 107
+1 15363 100
+1 10084 135
+1 10522 37
+1 39676 56
+1 38296 277
+1 32392 22
+1 36649 332
+1 20677 155
+1 23755 282
+1 41649 50
+1 5631 2
+1 454 180
+1 34723 175
+1 7086 188
+1 23396 381
+1 25269 695
+1 20631 59
+1 17421 126
+1 13279 240
+1 38298 216
+1 16912 184
+1 12745 267
+1 23503 456
+1 31910 121
+1 26184 58
+1 13617 259
+1 27583 35
+1 38527 116
+1 32892 201
+1 7055 56
-1 10738 33
-1 10738 52
-1 10738 19
-1 10738 11
-1 10738 25
-1 10738 40
-1 10738 12
-1 10738 58
-1 10738 43
-1 10738 24
-1 10738 60
-1 10738 27
-1 10738 33
-1 10738 7
-1 10738 23
-1 10738 53
-1 10738 2
-1 10738 64
-1 10738 52
-1 10738 67
-1 10738 22
-1 10738 62
-1 10738 47
-1 10738 58
-1 10738 60
-1 10738 26
-1 10738 42
-1 10738 51
-1 10738 61
-1 10738 57
-1 10738 36
-1 10738 21
-1 10738 43
-1 10738 3
-1 10738 47
-1 10738 59
-1 10738 22
-1 10738 24
-1 10738 49
-1 10738 32
-1 10738 20
-1 10738 43
-1 23068 23
-1 23068 40
-1 23068 18
-1 23068 77
-1 23068 3
-1 23068 79
-1 23068 39
-1 23068 62
-1 23068 14
-1 23068 40
-1 23068 5
-1 23068 73
-1 23068 76
-1 23068 17
-1 23068 71
-1 23068 63
-1 23068 17
-1 23068 73
-1 23068 18
-1 23068 15
-1 23068 17
-1 23068 72
-1 23068 14
-1 23068 23
-1 23068 51
-1 23068 80
-1 23068 15
-1 23068 29
-1 23068 18
-1 23068 12
-1 23068 71
-1 23885 154
-1 9811 76
-1 16068 110
-1 3772 76
-1 23200 171
-1 30165 67
-1 10426 124
-1 17928 38
-1 4345 9
-1 4345 5
-1 4345 8
-1 4345 12
-1 4345 14
-1 4345 32
-1 4345 30
-1 4345 27
-1 4346 24
-1 4346 50
-1 17875 276
-1 32433 295
-1 5490 251
-1 16076 73
-1 8369 140
-1 33424 178
-1 10218 85
-1 3918 72
-1 35796 21
-1 28363 100
-1 31863 108
-1 23911 89
-1 25207 193
-1 32785 56
-1 832 93
-1 6072 72
-1 33171 82
-1 19038 29
-1 17402 171
-1 10593 119
-1 5042 59
-1 15809 36
-1 23894 146
-1 27108 4
-1 26619 68
-1 5765 54
-1 36105 133
-1 16264 64
-1 23419 464
-1 828 4
-1 39190 98
-1 5229 42
-1 23561 200
-1 14436 39
-1 9817 61
-1 14605 226
-1 3995 62
-1 29977 30
-1 23944 91
-1 37659 106
-1 29715 1
-1 39828 106
-1 4816 102
-1 23579 24
-1 2537 61
-1 22415 465
-1 16169 149
-1 5592 37
-1 23935 332
-1 8183 7
-1 13514 194
-1 23256 491
-1 27060 105
-1 33050 66
-1 34065 33
-1 3391 99
-1 31204 29
-1 22493 2
-1 21897 59
-1 3498 86
-1 7055 304
-1 3387 48
-1 37082 10
-1 20503 204
-1 36218 22
-1 846 66
-1 7238 41
-1 24208 372
-1 17887 90
-1 23125 186
-1 29531 96
-1 9939 47
-1 15438 49
-1 8885 47
-1 10124 100
-1 40063 188
-1 33430 132
-1 35537 33
-1 27348 143
-1 23174 106
-1 4740 52
-1 32015 101
-1 24031 75
-1 37990 370
-1 36537 147
-1 17400 390
-1 37262 507
-1 20723 154
-1 34379 57
-1 33967 316
-1 5794 345
