label imagenumber objectnumber
+1 42509 136
+1 10827 119
+1 12715 156
+1 42474 296
+1 41898 163
+1 41898 175
+1 26615 98
+1 1679 97
+1 24322 363
+1 13481 62
+1 24245 132
+1 29055 232
+1 29332 266
+1 23732 61
+1 37701 242
+1 38723 331
+1 40922 466
+1 40171 569
+1 27461 176
+1 13464 451
+1 32706 29
+1 19878 87
+1 20001 77
+1 30959 36
+1 42687 174
+1 12399 164
+1 20837 178
+1 41544 957
+1 21324 36
+1 42595 377
+1 37261 228
+1 18252 150
+1 39246 126
+1 37941 455
+1 40353 26
+1 41901 453
+1 37339 56
+1 28545 259
+1 22509 142
+1 26264 334
+1 40355 222
+1 40355 210
+1 36925 104
+1 1861 174
+1 1861 221
+1 41962 550
+1 41997 493
+1 16381 184
+1 34665 256
+1 42707 18
+1 42707 418
+1 42705 281
+1 42705 158
+1 13463 216
+1 23155 721
+1 9801 121
+1 33592 258
+1 34800 14
+1 13295 375
+1 41592 384
+1 38270 57
+1 37918 182
+1 36692 331
+1 12319 558
+1 18460 414
+1 35816 450
+1 7990 284
+1 10620 40
+1 30553 207
+1 22054 333
+1 39571 118
+1 22437 432
+1 20421 142
+1 25945 58
+1 27959 188
+1 42501 184
+1 31428 665
+1 27047 77
+1 37943 74
+1 31558 86
+1 42316 686
+1 23815 66
+1 37712 115
+1 17912 65
+1 20119 252
+1 34804 661
+1 7883 144
+1 10763 12
+1 10291 29
+1 36789 257
+1 16104 45
+1 23524 144
+1 31940 56
+1 24332 217
+1 34548 86
+1 36170 297
+1 37732 163
+1 33374 369
+1 15854 34
+1 23975 289
+1 27635 194
+1 41285 163
+1 16056 271
+1 33376 428
+1 31680 223
+1 16055 444
+1 31594 278
+1 28842 21
+1 26479 256
+1 42744 50
+1 24545 33
+1 22204 354
+1 41695 258
+1 31256 110
+1 31256 79
+1 31256 167
+1 31256 165
+1 31256 362
+1 31256 392
+1 23798 95
+1 23798 104
+1 23798 166
+1 35533 74
+1 35533 220
+1 35533 94
+1 39156 29
+1 39156 92
+1 39156 139
+1 32462 96
+1 32462 283
+1 32462 232
+1 32462 287
+1 18536 277
+1 18536 72
+1 18536 259
+1 36673 37
+1 36673 36
+1 36673 377
+1 36673 39
+1 39156 270
+1 39156 194
+1 39156 234
+1 39156 29
+1 39156 239
+1 35533 169
+1 35533 74
+1 35533 88
+1 35533 222
+1 35533 163
+1 40211 157
+1 9908 323
+1 28296 221
+1 12317 74
+1 23798 104
+1 36144 520
+1 31256 392
+1 598 271
+1 12864 82
+1 41550 345
+1 42363 255
+1 27635 193
+1 6217 170
+1 8624 6
+1 42138 155
+1 31821 133
+1 23798 202
+1 24183 75
+1 19467 31
+1 23600 2
+1 23607 114
+1 23600 89
+1 23599 94
+1 24168 358
+1 23797 240
+1 826 180
+1 33001 187
+1 42558 3
+1 35533 163
+1 31904 16
+1 42839 470
+1 40573 180
+1 31239 347
+1 32462 202
+1 18536 258
+1 29177 218
+1 36673 369
+1 39156 195
-1 33203 271
-1 33203 308
-1 33203 278
-1 33203 637
-1 42465 201
-1 42465 140
-1 42465 509
-1 42465 239
-1 42465 94
-1 42465 151
-1 42465 229
-1 42465 418
-1 42465 437
-1 42465 228
-1 42465 253
-1 42465 284
-1 42465 492
-1 42465 284
-1 42465 352
-1 42465 37
-1 42465 37
-1 42465 166
-1 42465 205
-1 42074 78
-1 42074 174
-1 42074 174
-1 42074 96
-1 42074 205
-1 42074 308
-1 42074 94
-1 42074 107
-1 42074 277
-1 42074 78
-1 42074 277
-1 42074 205
-1 42074 318
-1 42074 1
-1 42074 70
-1 42074 194
-1 42074 258
-1 42074 93
-1 42074 296
-1 42074 1
-1 42266 233
-1 42266 258
-1 42266 381
-1 42266 354
-1 42266 138
-1 42266 443
-1 42266 443
-1 42266 118
-1 42266 186
-1 42266 285
-1 42266 118
-1 42266 443
-1 42266 132
-1 42266 186
-1 42266 132
-1 42266 118
-1 42266 288
-1 42266 272
-1 42266 354
-1 42266 132
-1 42298 214
-1 42298 19
-1 42298 365
-1 42298 270
-1 42298 319
-1 42298 19
-1 42298 30
-1 42298 178
-1 42298 172
-1 42298 283
-1 42298 150
-1 42298 129
-1 42298 373
-1 42298 373
-1 42298 373
-1 42298 30
-1 42298 319
-1 42298 391
-1 42298 200
-1 42298 14
-1 42474 101
-1 42474 229
-1 42474 62
-1 42474 264
-1 42474 236
-1 42474 234
-1 42474 166
-1 42474 212
-1 42474 72
-1 42474 224
-1 42474 280
-1 42474 329
-1 42474 96
-1 42474 220
-1 42474 157
-1 42474 101
-1 42474 220
-1 42474 312
-1 42474 264
-1 41962 516
-1 41899 339
-1 41899 280
-1 41899 526
-1 41899 206
-1 41899 175
-1 41899 491
-1 41899 192
-1 41899 507
-1 41899 491
-1 41899 2
-1 41899 214
-1 41899 28
-1 41899 526
-1 41899 342
-1 41899 149
-1 41899 371
-1 41899 214
-1 41899 255
-1 41899 304
-1 41899 374
-1 41898 307
-1 41898 326
-1 41898 391
-1 41898 88
-1 41898 236
-1 41898 333
-1 41898 320
-1 41898 218
-1 41898 326
-1 41898 320
-1 41898 178
-1 41898 252
-1 41898 252
-1 41898 171
-1 41898 236
-1 41898 401
-1 36683 333
-1 37384 54
-1 32708 17
-1 34234 279
-1 13958 161
-1 42818 310
-1 6648 1
-1 15956 339
-1 24062 447
-1 2424 321
-1 33593 13
-1 22538 9
-1 37780 96
-1 716 267
-1 26893 127
-1 32994 486
-1 18080 80
-1 40260 392
-1 32580 95
-1 42350 98
-1 42476 399
-1 35182 203
-1 22345 102
-1 22345 219
-1 22345 123
-1 22345 2
-1 22345 197
-1 22345 36
-1 22345 197
-1 22345 149
-1 22345 42
-1 22345 144
-1 22345 72
