label imagenumber objectnumber
+1 24887 76
+1 3 62
+1 18586 5
+1 24222 196
+1 6358 94
+1 23186 49
+1 5005 101
+1 5961 94
+1 5126 118
+1 7374 17
+1 24982 471
+1 3083 89
+1 577 29
+1 20870 58
+1 5311 386
+1 23502 104
+1 5976 62
+1 741 106
+1 18842 45
+1 5628 9
+1 6576 61
+1 3586 40
+1 32863 62
+1 18447 87
+1 4458 3
+1 4142 47
+1 10449 57
+1 6935 11
+1 594 31
+1 5405 19
+1 17542 9
+1 145 2
+1 34823 195
+1 25025 1
+1 17609 6
+1 39672 106
+1 6360 89
+1 23492 36
+1 15109 144
+1 1179 55
+1 4106 80
+1 22597 19
+1 3796 162
+1 3091 79
+1 9288 244
+1 4530 81
+1 12438 81
+1 5622 19
+1 5622 101
+1 5622 175
+1 5622 128
+1 5622 189
+1 5622 141
+1 5622 52
+1 5622 39
+1 5622 83
+1 5622 8
+1 5622 100
+1 5622 73
+1 5622 150
+1 5621 186
+1 5621 174
+1 5621 50
+1 5623 35
+1 5623 65
+1 5623 37
+1 36535 24
+1 18520 70
+1 658 160
+1 7966 5
+1 1169 109
+1 17216 211
+1 19690 121
-1 9065 97
-1 27283 45
-1 17789 10
-1 725 9
-1 9543 1
-1 17309 12
-1 19346 132
-1 2716 15
-1 4407 176
-1 30282 329
-1 3757 56
-1 8020 109
-1 23938 495
-1 40277 14
-1 9230 63
-1 4201 153
-1 39352 33
-1 6906 26
-1 17300 149
-1 692 62
-1 40157 15
-1 25399 6
-1 10473 39
-1 8405 81
-1 14189 29
-1 14538 54
-1 16380 46
-1 8326 96
-1 23167 288
-1 33097 129
-1 28838 35
-1 8188 41
-1 704 27
-1 19553 47
-1 9584 182
-1 10338 45
-1 23428 243
-1 27023 135
-1 23626 61
-1 7716 76
-1 18179 107
-1 31673 8
-1 6612 18
-1 4551 72
-1 38007 163
-1 11052 19
-1 25509 37
-1 23041 53
-1 1092 5
-1 20866 266
-1 39682 58
-1 20804 363
-1 3138 70
-1 4403 18
-1 933 51
-1 3772 119
-1 1088 108
-1 20815 12
-1 23578 627
-1 14028 17
-1 6576 101
-1 260 166
-1 25383 30
-1 5726 123
-1 4371 328
-1 22558 8
-1 23044 130
-1 7181 117
-1 10451 4
-1 6159 1
-1 23708 21
-1 5945 29
-1 14629 154
-1 19230 66
-1 22107 276
-1 6816 13
-1 35793 7
-1 39703 39
-1 37845 170
-1 9961 16
-1 24294 186
-1 5958 136
-1 17392 232
-1 39830 152
-1 5822 96
-1 9220 21
-1 31336 18
-1 38892 48
-1 37400 391
-1 743 235
-1 36333 117
-1 5213 7
-1 23246 244
-1 29618 286
-1 3820 12
-1 16046 31
-1 5171 51
-1 35896 14
-1 36896 124
-1 23513 114
-1 5697 72
-1 5433 208
-1 7900 46
-1 5205 22
-1 5032 205
-1 38229 93
-1 5910 35
-1 3899 1
-1 23563 602
-1 37485 32
-1 42234 309
-1 13873 65
-1 13364 73
-1 13363 179
-1 13363 66
-1 13363 94
-1 13363 174
-1 13363 126
-1 13363 141
-1 13363 43
-1 13363 91
-1 13363 151
-1 13363 87
-1 13363 50
-1 13363 155
-1 13363 191
-1 13363 188
-1 13364 69
-1 13364 13
-1 13364 26
-1 13364 61
-1 13364 87
-1 13364 82
-1 13364 5
-1 37317 123
-1 27795 50
-1 31354 55
-1 29570 99
-1 15527 90
-1 15533 10
-1 40664 3
-1 28664 110
-1 20038 50
-1 14836 19
-1 20040 501
-1 42081 206
-1 28892 58
-1 37296 98
-1 30616 226
-1 19794 238
-1 30712 25
-1 27069 33
-1 41485 24
-1 9144 22
-1 20980 20
-1 5398 6
-1 27327 475
-1 16735 95
-1 37749 102
-1 11737 88
-1 18476 114
-1 19462 188
-1 689 70
-1 10947 93
-1 35744 266
-1 42265 644
-1 34905 325
-1 36306 367
-1 32516 15
-1 11413 30
-1 766 100
-1 36874 24
-1 39096 344
-1 31731 161
-1 15574 28
-1 42266 134
-1 17275 99
-1 41239 109
-1 1162 289
-1 37461 5
-1 36908 178
-1 41899 329
-1 30401 35
-1 17209 54
-1 27725 9
-1 28780 214
-1 6512 30
-1 19377 46
-1 40674 2
-1 32506 11
-1 11997 14
-1 28194 130
-1 22031 25
-1 37963 115
-1 29298 83
-1 29438 48
-1 15815 152
-1 17850 56
-1 6653 41
-1 30641 42
-1 25199 33
-1 41623 73
-1 23232 50
-1 1363 71
-1 35338 17
-1 2597 105
-1 31526 28
-1 2213 216
-1 13029 103
-1 4509 26
-1 8727 39
-1 29363 70
-1 30268 77
-1 29291 86
-1 29851 16
-1 30777 4
-1 31447 39
-1 29939 40
-1 30363 200
-1 28472 49
-1 1838 19
-1 40516 65
-1 30992 269
-1 29384 34
-1 28280 36
-1 11060 457
-1 28599 31
-1 4771 136
-1 27234 11
-1 29926 317
-1 32487 239
-1 39412 139
-1 40741 75
-1 30380 5
-1 11956 3
-1 19499 18
-1 18804 81
-1 41928 451
-1 25817 30
-1 6549 81
-1 8969 93
-1 39183 118
-1 22524 52
-1 4642 31
-1 23332 36
-1 29629 12
-1 26812 174
-1 189 42
-1 4030 149
-1 6727 40
-1 846 10
-1 37909 57
-1 37297 224
-1 21803 101
-1 6584 27
-1 727 219
-1 5622 133
-1 5622 166
-1 5622 168
-1 5622 159
-1 5622 151
-1 5622 3
-1 5621 97
-1 5623 74
-1 25605 12
-1 18781 82
-1 33942 139
-1 38274 124
-1 36193 148
-1 5882 55
-1 3915 57
-1 32671 520
-1 27902 8
-1 19256 51
-1 8022 28
-1 17952 250
-1 29950 300
-1 17706 239
-1 34754 127
-1 5467 62
-1 20673 339
-1 31914 95
-1 38907 565
-1 36399 42
-1 31755 73
-1 2262 23
-1 24787 35
-1 5104 161
-1 7368 20
-1 25256 87
-1 22007 82
-1 15656 82
-1 1091 47
-1 18817 257
-1 16484 3
-1 17349 28
-1 38480 195
-1 12510 85
-1 38244 17
-1 2043 4
-1 11994 83
-1 4203 4
-1 15855 62
-1 28619 41
-1 24709 229
-1 5516 59
-1 30024 50
-1 22863 23
-1 27987 126
-1 30924 18
-1 34919 23
-1 24910 56
-1 35394 10
-1 33523 136
-1 40027 528
-1 9769 97
-1 4245 27
-1 29934 27
-1 18984 143
-1 3961 32
-1 26960 82
