label imagenumber objectnumber
+1 38455 295
+1 38455 113
+1 38455 255
+1 831 84
+1 37246 79
+1 25170 8
+1 8785 16
+1 3817 7
+1 3817 9
+1 3817 16
+1 411 187
+1 3817 32
+1 3817 38
+1 40759 2
+1 37117 55
+1 3817 48
+1 3817 54
+1 3817 63
+1 3817 66
+1 3817 78
+1 1864 239
+1 8785 137
+1 8785 211
+1 15961 4
+1 15961 15
+1 1117 14
+1 8785 254
+1 15961 57
+1 15961 61
+1 15961 63
+1 21113 72
+1 8785 279
+1 15961 75
+1 31112 213
+1 8785 305
+1 8785 306
+1 8785 312
+1 27298 204
+1 4145 75
+1 4145 76
+1 630 95
+1 1953 110
+1 38447 75
+1 9985 88
+1 1120 12
+1 5249 9
+1 26805 301
+1 30057 67
+1 41199 254
+1 5225 55
+1 397 44
+1 397 48
+1 39691 202
+1 14369 46
+1 14369 47
+1 397 77
+1 30304 3
+1 16348 12
+1 15964 131
+1 10161 13
+1 10161 16
+1 10161 18
+1 36317 45
+1 10161 40
+1 10161 43
+1 39179 19
+1 30060 120
+1 10163 33
+1 1755 133
+1 3569 23
+1 37371 18
+1 26613 72
+1 3570 17
+1 32892 187
+1 38007 2
+1 36437 137
+1 36019 85
+1 985 133
+1 5627 166
+1 1037 49
+1 1037 51
+1 27278 170
+1 27158 20
+1 14950 187
+1 17882 106
+1 28837 26
+1 8640 66
+1 20739 147
+1 8797 18
+1 8797 22
+1 1384 32
+1 15627 92
+1 7950 90
+1 10194 258
+1 31297 54
+1 44 4
+1 25323 7
+1 4231 19
+1 22894 312
+1 16950 32
+1 1947 95
+1 40469 103
+1 38455 169
+1 38455 72
+1 38455 156
+1 38455 102
+1 38455 295
+1 38455 152
+1 38455 62
+1 38455 68
+1 38456 410
+1 38455 1
+1 38455 314
+1 38455 91
+1 38455 295
+1 38455 299
+1 38455 299
+1 38455 166
+1 38455 1
+1 38455 113
+1 38455 172
+1 38455 140
+1 38455 123
+1 38455 123
+1 38455 51
+1 38456 114
+1 38456 140
+1 38456 132
+1 38456 74
+1 38456 269
+1 38456 53
+1 38454 67
+1 38454 66
+1 38454 118
+1 38454 16
+1 38454 121
+1 38454 118
+1 38453 128
+1 38453 129
+1 38453 14
+1 38453 129
+1 38453 51
+1 38453 129
+1 38453 17
+1 38455 140
+1 38455 365
+1 38455 102
+1 5207 68
+1 38455 314
