label imagenumber objectnumber
+1 33916 185
+1 29003 62
+1 4259 32
+1 34926 46
+1 7177 65
+1 15118 74
+1 36251 4
+1 281 32
+1 1296 26
+1 25183 20
+1 29564 19
+1 25637 24
+1 28382 76
+1 26522 31
+1 22251 21
+1 13389 26
+1 28442 4
+1 6533 35
+1 6319 8
+1 37371 64
+1 22254 9
+1 29448 7
+1 30132 53
+1 25894 35
+1 19691 58
+1 9797 146
+1 29200 81
+1 520 56
+1 16829 3
+1 5095 5
+1 12402 203
+1 29989 3
+1 5657 16
+1 26515 31
+1 1199 12
+1 16687 36
+1 29334 22
+1 26215 64
+1 36407 60
+1 28442 14
+1 22574 13
+1 25114 15
+1 25322 4
+1 22280 13
+1 6995 38
+1 12709 23
+1 1595 4
+1 7035 33
+1 12448 27
+1 3374 89
+1 6659 36
+1 28487 50
+1 8008 46
+1 22436 2
+1 2231 28
+1 28951 16
+1 4210 24
+1 1539 70
+1 3680 73
+1 1932 171
+1 6221 19
+1 25494 66
+1 33066 127
+1 28161 19
+1 1846 30
+1 5934 14
+1 4709 22
+1 6494 34
+1 6157 82
+1 31283 4
+1 4382 119
+1 17252 76
+1 35759 32
+1 39931 154
+1 28093 30
+1 40761 55
+1 22136 25
+1 18217 187
+1 26528 120
+1 17346 30
+1 17209 61
+1 25577 54
+1 17046 28
+1 25467 18
+1 6507 115
+1 9779 64
+1 15495 48
+1 2348 49
+1 28549 29
+1 29559 85
+1 24936 7
+1 14204 6
+1 8133 8
+1 3222 25
+1 30763 115
+1 11391 53
+1 3291 83
+1 3588 54
+1 25603 25
+1 25047 50
+1 4235 130
+1 19089 35
+1 1286 74
+1 21867 137
+1 25276 86
+1 25937 47
+1 8016 28
+1 21561 17
+1 25157 14
+1 28033 8
+1 25798 111
+1 22173 18
+1 25872 7
+1 19270 179
+1 33276 16
+1 17740 135
+1 8591 45
+1 22018 37
+1 848 12
+1 8876 11
+1 11718 31
+1 28542 47
+1 12406 29
+1 452 42
+1 32894 84
+1 28180 84
+1 7448 82
+1 11058 5
+1 19615 107
+1 6557 51
+1 3756 25
+1 5689 83
+1 25870 18
+1 28954 24
+1 21807 44
+1 25617 13
+1 788 81
+1 23660 4
+1 23659 45
+1 23659 99
+1 23659 59
+1 23659 13
+1 23659 46
+1 23657 24
+1 23657 38
+1 23658 74
+1 23658 6
+1 23658 64
+1 23658 54
+1 23658 80
+1 23658 70
+1 10172 11
+1 28093 11
+1 6507 115
+1 14457 13
+1 21729 41
+1 22238 31
+1 32919 28
+1 8183 20
+1 14255 27
+1 25577 11
+1 26615 8
+1 28158 14
+1 21590 24
+1 36630 40
+1 22781 40
+1 7787 15
+1 30077 93
+1 29887 7
+1 16580 18
+1 37654 2
+1 7209 31
+1 12638 37
+1 7002 191
+1 29359 31
+1 28027 19
+1 40860 346
+1 24990 67
+1 11589 20
+1 7375 55
+1 17693 24
+1 36475 60
+1 37141 67
+1 18982 125
+1 38152 12
+1 7092 2
+1 21607 15
+1 24763 43
+1 25609 5
+1 13195 17
+1 19193 7
+1 7007 46
+1 30064 37
+1 28193 52
+1 35076 29
+1 25401 33
+1 4709 39
+1 17886 59
+1 450 25
+1 36034 73
+1 6270 33
+1 7344 27
-1 4576 11
-1 12280 2
-1 7901 49
-1 40742 11
-1 29838 14
-1 31238 38
-1 24935 101
-1 6423 24
-1 418 96
-1 40159 188
-1 5501 32
-1 3645 64
-1 33034 98
-1 14708 30
-1 37895 67
-1 10435 324
-1 8235 6
-1 23628 140
-1 29443 32
-1 7093 43
-1 4124 44
-1 37621 86
-1 2444 25
-1 5369 24
-1 6788 43
-1 22479 442
-1 18377 9
-1 31482 44
-1 39079 6
-1 35719 62
-1 33258 45
-1 17643 108
-1 37825 94
-1 26291 32
-1 12403 171
-1 7033 1
-1 7414 83
-1 37148 4
-1 40473 108
-1 2529 42
-1 10225 52
-1 5115 14
-1 5493 19
-1 6379 20
-1 2707 153
-1 748 9
-1 10473 50
-1 7958 5
-1 4738 108
-1 41140 30
-1 1298 58
-1 36669 118
-1 38080 209
-1 10555 160
-1 28658 149
-1 18955 85
-1 30825 47
-1 21656 15
-1 7608 67
-1 8592 26
-1 18164 164
-1 24716 28
-1 19630 96
-1 19411 9
-1 14421 5
-1 27904 85
-1 24012 129
-1 22096 1
-1 38010 40
-1 10039 129
-1 30206 23
-1 16393 43
-1 6494 46
-1 25559 28
-1 4184 24
-1 11908 102
-1 4789 86
-1 10678 57
-1 23043 13
-1 16060 111
-1 3144 9
-1 39753 62
-1 735 26
-1 30426 105
-1 27882 5
-1 6829 10
-1 21066 285
-1 35952 4
-1 41166 48
-1 31662 94
-1 33463 121
-1 28304 11
-1 2379 237
-1 23689 16
-1 2512 12
-1 39607 124
-1 3898 4
-1 30255 5
-1 37576 9
-1 34678 165
-1 6716 19
-1 27385 12
-1 31353 36
-1 9127 42
-1 30087 46
-1 670 23
-1 8756 35
-1 27884 137
-1 19263 77
-1 26070 16
-1 10984 275
-1 9232 77
-1 28669 37
-1 3859 25
-1 24988 97
-1 32503 18
-1 20525 9
-1 23002 51
-1 10528 32
-1 35634 94
-1 27455 53
-1 41461 42
-1 28448 37
-1 11597 38
-1 5073 152
-1 29364 49
-1 37523 35
-1 6316 63
-1 35951 23
-1 30003 87
-1 36631 28
-1 19819 156
-1 15877 162
-1 30756 177
-1 35540 375
-1 28582 97
-1 10543 38
-1 27728 277
-1 30011 78
-1 12932 272
-1 10008 57
-1 18699 69
-1 32696 72
-1 12771 94
-1 38446 69
-1 22023 5
-1 40060 345
-1 37382 44
-1 21956 78
-1 22237 136
-1 35023 233
-1 8987 42
-1 17342 146
-1 1537 34
-1 3159 63
-1 36209 240
-1 37330 216
-1 42125 582
-1 23660 106
-1 15439 279
-1 32158 76
-1 10581 47
-1 37745 687
-1 32893 26
-1 36336 20
-1 6978 18
-1 4294 79
-1 6419 13
-1 35237 20
-1 35244 3
-1 22364 196
-1 15878 69
-1 22750 121
-1 24181 35
-1 1953 55
-1 15688 210
-1 23801 236
-1 32555 95
-1 32387 19
-1 23660 2
-1 23660 12
-1 23660 7
-1 23660 25
-1 23660 34
-1 23660 50
-1 23660 39
-1 23660 10
-1 23660 63
-1 23660 46
-1 23660 76
-1 23659 60
-1 23659 42
-1 23659 7
-1 23659 89
-1 23659 66
-1 23659 14
-1 23659 86
-1 23659 27
-1 23659 91
-1 41002 91
-1 5221 85
-1 31745 54
-1 3409 118
-1 4193 89
-1 14709 8
-1 24118 109
-1 5059 45
-1 5155 53
-1 37940 282
-1 7990 207
-1 26630 86
-1 3698 50
-1 13887 269
-1 240 180
-1 14923 11
-1 15864 153
-1 18977 12
-1 3677 116
-1 282 59
-1 38767 70
-1 10382 2
-1 15531 21
-1 16901 107
-1 5360 105
-1 5510 151
-1 8841 67
-1 4506 20
-1 24104 111
-1 1492 38
-1 6405 28
-1 30662 24
-1 3632 41
-1 39121 134
-1 35074 25
-1 23466 160
-1 7856 53
-1 6271 1
-1 18576 27
-1 24212 3
-1 29209 3
-1 5691 2
-1 18785 6
-1 28237 98
-1 7995 81
-1 7404 199
-1 26836 45
-1 36371 384
-1 41046 39
-1 42075 134
-1 28845 35
-1 30490 73
-1 39682 21
-1 6590 32
-1 24840 11
-1 6073 58
-1 12908 61
-1 7286 10
-1 7258 133
-1 28822 145
-1 10415 50
-1 7995 92
-1 7126 87
-1 4056 259
-1 42841 259
-1 33461 40
-1 31024 115
-1 33321 201
-1 18917 145
-1 6201 39
-1 18078 78
-1 39216 179
-1 5029 49
-1 9019 46
-1 24274 82
-1 7653 124
-1 39314 231
-1 15908 70
-1 23159 438
-1 26611 53
-1 40613 220
-1 14475 47
-1 31668 12
-1 40889 52
-1 41225 89
-1 3689 6
-1 14717 18
-1 20567 73
-1 5248 31
-1 18499 49
-1 40275 62
-1 23657 39
-1 24201 15
-1 303 68
-1 6243 20
-1 14733 5
-1 7856 37
-1 26663 35
-1 33435 36
-1 6554 81
-1 28255 34
-1 19332 102
-1 19804 107
-1 26750 14
-1 19545 111
-1 22710 23
-1 5918 110
-1 10148 38
-1 21241 14
-1 35669 48
-1 34195 484
-1 34893 31
-1 33587 122
-1 20641 208
-1 22864 119
-1 27530 175
-1 33862 35
