label imagenumber objectnumber
+1 27234 47
+1 27234 29
+1 38941 34
+1 787 31
+1 407 10
+1 25978 7
+1 9364 54
+1 19268 91
+1 31102 41
+1 32394 26
+1 22068 25
+1 9158 3
+1 36277 116
+1 34866 115
+1 34866 73
+1 34865 122
+1 17262 57
+1 28878 87
+1 9157 15
+1 17262 119
+1 13364 43
+1 13363 144
+1 13363 159
+1 13363 192
+1 13363 146
+1 13364 33
+1 41387 137
+1 26846 40
+1 24967 5
+1 17790 165
+1 13363 172
+1 13363 118
+1 13363 46
+1 13363 138
+1 13364 1
+1 13364 91
+1 13364 20
+1 13364 146
+1 13364 6
+1 38226 16
+1 16986 12
+1 13364 37
+1 31646 31
+1 24967 26
+1 35089 6
+1 1158 10
+1 26521 40
+1 38769 41
+1 31766 33
+1 38769 40
+1 17102 110
+1 17102 37
+1 25317 7
+1 10516 9
+1 18900 46
+1 18379 1
+1 12985 2
+1 22270 2
+1 19690 93
-1 31688 48
-1 31688 73
-1 31688 136
-1 31688 20
-1 31686 140
-1 31686 6
-1 31685 16
-1 27236 33
-1 27236 20
-1 27234 33
-1 27233 26
-1 27233 11
-1 27233 22
-1 27233 25
-1 27235 38
-1 27235 86
-1 27235 17
-1 13639 239
-1 42262 98
-1 10847 91
-1 39385 62
-1 38540 128
-1 146 55
-1 37086 53
-1 41714 48
-1 13757 30
-1 1153 49
-1 40421 33
-1 25739 39
-1 30557 3
-1 10467 1
-1 19428 110
-1 18986 20
-1 30615 373
-1 20537 1
-1 30623 9
-1 983 93
-1 6507 56
-1 32045 28
-1 21695 76
-1 8574 7
-1 5592 14
-1 34866 6
-1 34865 50
-1 2372 110
-1 17591 284
-1 31313 3
-1 15284 154
-1 39243 64
-1 42226 7
-1 16354 13
-1 39555 265
-1 10789 75
-1 6236 72
-1 39237 112
-1 23599 404
-1 30767 15
-1 31304 92
-1 2216 84
-1 19604 27
-1 7072 35
-1 34273 67
-1 35173 109
-1 12311 261
-1 41462 21
-1 22727 59
-1 19203 1
-1 34257 10
-1 14506 100
-1 13760 52
-1 29220 116
-1 13363 20
-1 13363 109
-1 30420 7
-1 10833 2
-1 21782 57
-1 2497 32
-1 42045 171
-1 13519 112
-1 10299 44
-1 35341 184
-1 42281 32
-1 27721 49
-1 13363 115
-1 19407 13
-1 42286 113
-1 2655 5
-1 10266 77
-1 9131 165
-1 28723 177
-1 27375 302
-1 6956 66
-1 21621 15
-1 10071 13
-1 42656 680
-1 36424 15
-1 23216 318
-1 33751 90
-1 33957 35
-1 8462 20
-1 28282 1
-1 2622 86
-1 6916 53
-1 36523 372
-1 989 3
-1 6891 60
-1 36474 95
-1 4176 166
-1 18487 38
-1 23082 92
-1 1210 118
-1 16406 37
-1 28273 89
-1 154 9
-1 32663 53
-1 32724 41
-1 4921 172
-1 8590 16
-1 17849 87
-1 18975 91
-1 8727 39
-1 4509 26
-1 13029 103
-1 2213 216
-1 31526 28
-1 2597 105
-1 35338 17
-1 1363 71
-1 23232 50
-1 41623 73
-1 25199 33
-1 30641 42
-1 6653 41
-1 17850 56
-1 15815 152
-1 29438 48
-1 29298 83
-1 37963 115
-1 1179 55
-1 22031 25
-1 28194 130
-1 11997 14
-1 32506 11
-1 40674 2
-1 19377 46
-1 6512 30
-1 28780 214
-1 27725 9
-1 17209 54
-1 30401 35
-1 41899 329
-1 36908 178
-1 37461 5
-1 1162 289
-1 41239 109
-1 17275 99
-1 42266 134
-1 15574 28
-1 31731 161
-1 39096 344
-1 36874 24
-1 766 100
-1 11413 30
-1 32516 15
-1 36306 367
-1 26132 43
-1 34905 325
-1 42265 644
-1 35744 266
-1 8337 289
-1 10947 93
-1 689 70
-1 19462 188
-1 18476 114
-1 11737 88
-1 37749 102
-1 10097 21
-1 16735 95
-1 27327 475
-1 5398 6
-1 20980 20
-1 9144 22
-1 41485 24
-1 27069 33
-1 30712 25
-1 19794 238
-1 30616 226
-1 37296 98
-1 28892 58
-1 42081 206
-1 20040 501
-1 14836 19
-1 20038 50
-1 28664 110
-1 40664 3
-1 15533 10
-1 15527 90
-1 29570 99
-1 31354 55
-1 27795 50
-1 37317 123
-1 13364 5
-1 13364 82
-1 13364 87
-1 13364 61
-1 13364 26
-1 13364 13
-1 13364 69
-1 13363 188
-1 13363 191
-1 13363 155
-1 13363 50
-1 13363 87
-1 13363 151
-1 13363 91
-1 13363 43
-1 13363 141
-1 13363 126
-1 13363 174
-1 13363 94
-1 13363 66
-1 13363 179
-1 13364 73
-1 13364 139
-1 13364 92
-1 13364 62
-1 13364 105
-1 13364 88
-1 13364 31
-1 13364 113
-1 13364 141
-1 13364 57
-1 13364 97
-1 13364 89
-1 13364 11
-1 22018 8
-1 31352 110
-1 35472 19
-1 27723 50
-1 29756 192
-1 41245 97
-1 10009 212
-1 28886 67
-1 34999 84
-1 20598 277
-1 31705 357
-1 23217 103
-1 34242 279
-1 40377 21
-1 41531 193
-1 37481 474
-1 36433 164
-1 41595 582
-1 3800 109
-1 29758 50
-1 9997 1
-1 3977 197
-1 362 11
-1 536 297
-1 37400 318
-1 7755 53
-1 24444 68
-1 34123 11
-1 23369 292
-1 21571 307
-1 14661 362
-1 38091 49
-1 41387 25
-1 26846 74
-1 32853 150
-1 32853 40
-1 32853 97
-1 32853 7
-1 31646 116
-1 31646 37
-1 31646 44
-1 24967 1
-1 24967 25
-1 14047 173
-1 38226 23
-1 19644 13
-1 19644 89
-1 19885 44
-1 4268 63
-1 22558 32
-1 6272 76
-1 17274 71
-1 33327 111
-1 12565 73
-1 31939 275
-1 9030 10
-1 9699 24
-1 6838 106
-1 1065 39
-1 42155 256
-1 35089 24
-1 1158 38
-1 1158 50
-1 24967 25
-1 24967 20
-1 31646 71
-1 36050 91
-1 14262 1
-1 22916 16
-1 10989 51
-1 18120 101
-1 39631 1
-1 34102 69
-1 35109 44
-1 403 56
-1 42524 120
-1 7123 50
-1 13370 89
-1 38485 13
-1 6429 26
-1 13608 121
-1 31766 54
-1 31766 73
-1 31766 92
-1 26521 1
-1 26521 4
-1 26521 15
-1 26521 12
-1 17102 42
-1 17102 4
-1 17102 6
-1 17102 5
-1 1158 34
-1 1158 11
-1 8847 41
-1 32821 252
-1 24700 55
-1 41075 80
-1 41278 33
-1 30449 68
-1 17384 88
-1 39595 424
-1 6745 25
-1 29800 60
-1 30253 64
-1 14564 7
-1 31074 63
-1 38784 1
-1 30252 3
-1 38763 174
