label imagenumber objectnumber
+1 41256 148
+1 26360 76
+1 36560 269
+1 6149 7
+1 38388 201
+1 41843 328
+1 28546 344
+1 36584 141
+1 4058 108
+1 41592 471
+1 39479 268
+1 27524 386
+1 30956 39
+1 33748 226
+1 23921 616
+1 31094 54
+1 22924 79
+1 24175 512
+1 20400 371
+1 13260 359
+1 41551 632
+1 26327 51
+1 16053 497
+1 36988 450
+1 41832 122
+1 36540 346
+1 10984 50
+1 24601 130
+1 38910 421
+1 17309 22
+1 22348 246
+1 40826 150
+1 19885 36
+1 23956 395
+1 3990 127
+1 21809 53
+1 34761 123
+1 23263 720
+1 7684 65
+1 35787 68
+1 25570 15
+1 42688 256
+1 42694 410
+1 27606 230
+1 12559 59
+1 42877 203
+1 13075 101
+1 37067 274
+1 33407 152
+1 37763 450
+1 37403 534
+1 7804 273
+1 28700 15
+1 24184 260
+1 33963 146
+1 23602 205
+1 16691 147
+1 42655 204
+1 26059 44
+1 17731 327
+1 14252 156
+1 34687 71
+1 9454 58
+1 27285 69
+1 34126 51
+1 17566 195
+1 33999 48
+1 23494 383
+1 33063 123
+1 16399 319
+1 42970 145
+1 42159 568
+1 37878 213
+1 42715 125
+1 42339 407
+1 34942 70
+1 31160 183
+1 16728 121
+1 42397 485
+1 25252 1
+1 32691 158
+1 41644 648
+1 31429 295
+1 33451 476
+1 35020 676
+1 32365 8
+1 31144 172
+1 39223 311
+1 27960 325
+1 11947 211
+1 20479 270
+1 33541 177
+1 18060 126
+1 13517 157
+1 23208 548
+1 30323 155
+1 34476 311
+1 31947 133
+1 32431 539
+1 39394 105
+1 42769 123
+1 23493 52
+1 34514 489
+1 40395 396
+1 19464 80
+1 37112 402
+1 42396 313
+1 42548 137
+1 12697 177
+1 42020 492
+1 9431 374
+1 481 16
+1 37194 34
+1 37709 277
+1 33623 73
+1 42157 726
+1 42529 199
+1 32443 313
+1 17707 81
+1 13291 232
+1 37269 386
+1 26449 332
+1 23961 152
+1 39312 194
+1 32835 174
+1 33118 291
+1 37646 234
+1 32921 79
+1 2046 237
+1 35104 198
+1 18997 32
+1 23347 754
+1 35946 331
+1 42738 36
+1 18794 198
+1 34253 195
+1 39629 64
+1 38145 173
+1 9280 56
+1 29173 161
+1 30098 226
+1 21752 19
+1 36722 297
+1 38520 555
+1 6068 110
+1 10012 292
+1 12598 185
+1 19252 26
+1 6536 21
+1 20966 153
+1 24454 32
+1 29259 39
+1 41791 452
+1 14664 219
+1 12679 103
+1 37783 375
+1 41784 862
