label imagenumber objectnumber
+1 16579 3
+1 29717 12
+1 18619 345
+1 28134 87
+1 22702 22
+1 9528 5
+1 4172 31
+1 28920 133
+1 953 51
+1 28725 24
+1 7472 10
+1 5118 104
+1 18930 38
+1 9041 60
+1 9322 3
+1 12806 87
+1 17797 58
+1 36964 4
+1 13954 72
+1 9983 70
+1 21087 54
+1 30211 21
+1 30795 211
+1 39725 81
+1 39243 12
+1 25309 5
+1 26836 69
+1 3897 2
+1 15866 20
+1 14231 24
+1 29877 145
+1 36625 206
+1 593 7
+1 6622 26
+1 34217 309
+1 29533 11
+1 33620 191
+1 17776 129
+1 17713 211
+1 22401 177
+1 17421 17
+1 12601 20
+1 40680 94
+1 4538 14
+1 15993 91
+1 28871 38
+1 35116 26
+1 37484 25
+1 9140 20
+1 31866 31
+1 7221 2
+1 35392 52
+1 9956 274
+1 32918 9
+1 1064 8
+1 28360 28
+1 17847 22
+1 4171 43
+1 4170 19
+1 4170 17
+1 4170 35
+1 4169 10
+1 4169 5
+1 33273 20
+1 17253 27
+1 7436 79
+1 36383 206
+1 31024 63
+1 28861 24
+1 7452 5
+1 7452 12
+1 7359 38
+1 7359 10
+1 7359 14
+1 7359 43
+1 7359 29
+1 7359 42
+1 7359 48
+1 7360 16
+1 7360 5
+1 7360 59
+1 7357 10
+1 7357 24
+1 7357 18
+1 7357 38
+1 7357 40
+1 7357 25
+1 7358 7
+1 7358 29
+1 7358 28
+1 28953 11
+1 28953 16
+1 34919 44
+1 34920 27
+1 34920 31
+1 34920 19
+1 28500 11
+1 28500 8
+1 8784 74
+1 8784 9
+1 8784 59
+1 8783 16
+1 8782 17
+1 8782 53
+1 8782 8
+1 8781 63
+1 8781 7
+1 16681 6
+1 16681 9
+1 16681 8
+1 16683 2
+1 16683 16
+1 24969 4
+1 24969 15
+1 24970 8
+1 24971 2
+1 24972 29
+1 24972 7
+1 24971 3
+1 24970 13
+1 36461 123
+1 36461 124
+1 36461 83
+1 36461 25
+1 36461 57
+1 36462 85
+1 36461 69
+1 36463 75
+1 36463 13
+1 12693 159
+1 12693 11
+1 12694 68
+1 28083 53
+1 28084 8
+1 28081 31
+1 28081 79
+1 31853 76
+1 31853 48
+1 31853 75
+1 31853 14
+1 31854 92
+1 31855 52
+1 31855 128
+1 31856 123
+1 28516 7
+1 6714 19
+1 36469 8
+1 37171 334
+1 23725 34
+1 14601 35
+1 22868 26
+1 38760 55
+1 36139 19
+1 3115 61
+1 7450 63
+1 24760 10
+1 34377 141
+1 1127 4
+1 22586 31
+1 26371 159
+1 42893 322
+1 7068 94
+1 28582 36
+1 34625 44
+1 18573 51
+1 3281 30
+1 21893 5
+1 5605 133
+1 1059 26
+1 4538 67
+1 6278 161
+1 1081 40
+1 6577 59
+1 26714 90
+1 18810 80
+1 8146 332
+1 10335 54
+1 11527 7
+1 27775 179
+1 7953 9
+1 8439 6
+1 13862 67
+1 25334 35
+1 25226 16
+1 28246 64
+1 18219 96
+1 11924 170
+1 21630 12
+1 4003 63
+1 6712 165
-1 20100 332
-1 21744 201
-1 39968 37
-1 3813 42
-1 26183 139
-1 22434 69
-1 42745 99
-1 39683 99
-1 36284 50
-1 1752 24
-1 4634 2
-1 27884 68
-1 28650 3
-1 40233 72
-1 15866 17
-1 27953 6
-1 5775 118
-1 26482 13
-1 19523 84
-1 15620 14
-1 16628 28
-1 39221 449
-1 39657 68
-1 28136 114
-1 585 1
-1 28723 94
-1 37555 109
-1 14741 54
-1 7739 11
-1 33088 125
-1 36710 80
-1 125 72
-1 7806 21
-1 32678 13
-1 41027 109
-1 2778 28
-1 26337 154
-1 9987 45
-1 14359 102
-1 36914 196
-1 25079 22
-1 36616 144
-1 12792 93
-1 32718 89
-1 30866 55
-1 33619 53
-1 6704 14
-1 58 21
-1 16675 17
-1 517 65
-1 17433 65
-1 14269 12
-1 41686 127
-1 5619 236
-1 16001 28
-1 13887 133
-1 38730 42
-1 40910 129
-1 10489 125
-1 29557 19
-1 42256 216
-1 19696 1
-1 27423 84
-1 30641 1
-1 26189 70
-1 10403 36
-1 20556 33
-1 41478 57
-1 28379 27
-1 31992 299
-1 17774 156
-1 42712 38
-1 28758 217
-1 5927 16
-1 23459 42
-1 37711 190
-1 18536 3
-1 32989 116
-1 40376 26
-1 1080 15
-1 35944 57
-1 7688 81
-1 28374 89
-1 32618 80
-1 31217 66
-1 28794 39
-1 33075 265
-1 40275 93
-1 7931 44
-1 42369 115
-1 34788 265
-1 30649 61
-1 30824 87
-1 30801 108
-1 42328 79
-1 35873 48
-1 26447 57
-1 17415 68
-1 40086 187
-1 8140 29
-1 27928 24
-1 21997 20
-1 21808 94
-1 954 35
-1 40840 241
-1 38333 19
-1 24854 21
-1 31765 15
-1 38881 50
-1 40469 25
-1 11384 17
-1 32425 103
-1 26645 28
-1 27136 138
-1 7788 23
-1 2194 8
-1 19167 69
-1 38864 69
-1 20524 121
-1 21981 59
-1 28199 24
-1 40958 135
-1 30540 7
-1 34701 53
-1 37313 39
-1 4003 16
-1 17833 269
-1 22876 26
-1 30591 160
-1 39285 39
-1 36546 70
-1 19335 9
-1 22022 62
-1 29610 27
-1 17873 10
-1 39081 35
-1 505 27
-1 14395 6
-1 23142 292
-1 16692 97
-1 25356 63
-1 33765 108
-1 23013 278
-1 14227 65
-1 18819 57
-1 13661 30
-1 24006 111
-1 3302 11
-1 33222 19
-1 37347 105
-1 32895 35
-1 4554 224
-1 9344 19
-1 15712 178
-1 33589 368
-1 24888 19
-1 3524 135
-1 10130 62
-1 35949 37
-1 25586 11
-1 15698 97
-1 3428 5
-1 25873 188
-1 6217 12
-1 37223 273
-1 7000 7
-1 29772 39
-1 29609 45
-1 22112 70
-1 39049 69
-1 35076 39
-1 325 67
-1 29612 89
-1 40007 213
-1 5019 134
-1 6378 20
-1 40203 141
-1 15756 147
-1 28360 31
-1 27888 161
-1 38224 73
-1 1045 21
-1 33472 1
-1 26080 20
-1 20723 132
-1 17907 116
-1 8761 9
-1 9126 52
-1 3676 3
-1 461 41
-1 6236 50
-1 14422 110
-1 29906 124
-1 8108 90
-1 21238 275
-1 17268 71
-1 13081 10
-1 28207 89
-1 15625 19
-1 34404 555
-1 15350 1
-1 24985 51
-1 33440 11
-1 37576 200
-1 36296 70
-1 35476 147
-1 26456 4
-1 20838 225
-1 3930 79
-1 27815 55
-1 32695 55
-1 16120 72
-1 27367 138
-1 35837 59
-1 10513 84
-1 26723 43
-1 20745 178
-1 40875 1
-1 34626 417
-1 9850 10
-1 26098 170
-1 29505 4
-1 6929 76
-1 25970 33
-1 40454 22
-1 5934 8
-1 5137 18
-1 4921 204
-1 28673 75
-1 5342 1
-1 7637 82
-1 19339 39
-1 16292 28
-1 29408 17
-1 22112 116
-1 986 13
-1 38550 16
-1 11571 356
-1 14202 12
-1 25273 58
-1 42882 147
-1 5411 2
-1 15995 68
-1 40485 41
-1 956 34
-1 22404 11
-1 27887 85
-1 19457 4
-1 7943 9
-1 30237 18
-1 5565 52
-1 36307 33
-1 31237 26
-1 41594 30
-1 16546 24
-1 11083 257
-1 37629 147
-1 23225 141
-1 17111 1
-1 25091 54
-1 15887 18
-1 27432 64
-1 24600 99
-1 29464 1
-1 26773 32
-1 40377 55
-1 1145 18
-1 6365 15
-1 1297 14
-1 17168 275
-1 42504 291
-1 11569 179
-1 32598 184
-1 16286 60
-1 17092 434
-1 32831 31
-1 27689 58
-1 38735 488
-1 5212 346
-1 10633 11
-1 21834 142
-1 11065 121
-1 9696 11
-1 42529 241
-1 35670 12
-1 42389 664
-1 34913 324
-1 29240 82
-1 36685 422
-1 31587 157
-1 26450 409
-1 83 130
-1 22010 166
-1 36094 84
-1 35219 166
-1 32381 67
-1 16903 275
-1 33709 111
-1 21927 10
-1 42732 76
-1 30585 39
-1 38138 138
-1 9530 179
-1 11666 24
-1 36367 1
-1 5975 7
-1 33859 350
-1 37497 8
-1 38999 264
-1 1863 228
-1 33499 49
-1 25342 189
-1 31071 531
-1 32241 185
-1 34870 89
-1 42031 121
-1 27341 158
-1 16151 49
-1 38414 108
-1 32779 33
-1 10984 157
-1 19451 213
-1 27045 83
-1 24477 162
-1 30530 129
-1 12592 185
-1 11164 3
-1 34610 33
-1 24254 207
-1 2223 103
-1 11770 19
-1 40016 229
-1 16013 37
-1 25812 20
-1 28069 2
-1 11818 94
-1 14698 67
-1 15189 2
-1 42032 110
-1 18275 67
-1 36261 88
-1 31911 275
-1 34630 328
-1 30400 219
-1 35127 11
-1 20739 182
-1 16923 18
-1 39218 367
-1 37318 124
-1 29338 167
-1 42655 379
-1 30565 30
-1 42261 80
-1 16030 21
-1 33542 523
-1 24851 81
-1 42683 386
-1 20357 78
-1 29767 20
-1 34614 783
-1 37507 81
-1 13854 42
-1 32830 241
-1 37445 77
-1 34740 81
-1 26265 107
-1 16062 374
-1 29498 32
-1 18619 220
-1 42350 17
-1 36024 73
-1 38353 241
-1 7859 105
-1 40306 137
-1 25371 27
-1 8780 32
-1 4172 21
-1 4172 61
-1 4172 48
-1 4172 80
-1 4172 50
-1 4172 59
-1 4172 79
-1 4172 14
-1 4172 22
-1 4172 15
-1 4172 60
-1 4172 33
-1 4171 33
-1 4171 32
-1 4171 50
-1 4171 23
-1 4171 52
-1 4171 38
-1 4171 31
-1 4171 17
-1 4171 49
-1 4171 54
-1 4171 52
-1 4171 34
-1 4171 39
-1 4171 2
-1 4171 29
-1 4171 53
-1 4171 7
-1 4170 13
-1 4170 11
-1 4170 16
-1 4170 8
-1 4170 63
-1 4170 65
-1 4170 28
-1 4170 1
-1 4170 14
-1 4170 27
-1 4170 62
-1 4170 56
-1 4170 26
-1 4170 40
-1 4170 23
-1 4170 29
-1 4170 78
-1 4170 18
-1 4170 32
-1 4170 42
-1 4170 53
-1 4170 54
-1 4170 77
-1 4170 68
-1 4170 59
-1 4170 83
-1 4169 29
-1 4169 7
-1 4169 28
-1 4169 26
-1 4169 24
-1 4169 14
-1 4169 32
-1 4169 37
-1 4169 18
-1 4169 13
-1 4169 4
-1 4169 36
-1 4169 37
-1 4169 14
-1 4169 7
-1 4169 17
-1 4169 41
-1 36843 171
-1 30921 9
-1 42470 193
-1 41794 35
-1 28847 64
-1 32510 31
-1 31140 165
-1 27249 25
-1 38556 103
-1 25952 26
-1 23907 193
-1 30868 49
