label imagenumber objectnumber
+1 35587 30
+1 40681 5
+1 12570 13
+1 36868 87
+1 27609 25
+1 34634 135
+1 35413 3
+1 18828 8
+1 27609 23
+1 25447 58
+1 16285 387
+1 32068 65
+1 4396 22
+1 17630 136
+1 4320 17
+1 20894 205
+1 21770 55
+1 15649 39
+1 38155 50
+1 41753 12
+1 36876 18
+1 23198 71
+1 38321 5
+1 38321 19
+1 27285 58
+1 26500 44
+1 22950 20
+1 22664 19
+1 38321 17
+1 16820 8
+1 36921 4
+1 16817 13
+1 16817 18
+1 35749 59
-1 30174 49
-1 24134 79
-1 30238 359
-1 7482 51
-1 35049 37
-1 42991 38
-1 39742 18
-1 409 100
-1 32166 115
-1 26793 53
-1 5261 133
-1 7175 3
-1 8415 255
-1 4316 29
-1 24159 10
-1 34667 138
-1 26062 42
-1 8151 91
-1 21091 5
-1 22834 112
-1 5970 21
-1 994 129
-1 13251 11
-1 16074 184
-1 5724 220
-1 24108 90
-1 24150 44
-1 11176 311
-1 21447 28
-1 34810 17
-1 36762 222
-1 489 90
-1 16739 94
-1 24006 124
-1 32579 104
-1 42363 309
-1 24656 34
-1 17486 138
-1 20332 13
-1 1869 66
-1 25830 5
-1 3500 6
-1 267 179
-1 37138 28
-1 35749 123
-1 39368 48
-1 23768 77
-1 16996 37
-1 35 10
-1 35049 37
-1 19653 92
-1 5558 93
-1 36159 447
-1 39385 8
-1 18187 173
-1 16717 131
-1 23743 206
-1 5873 10
-1 26442 42
-1 20498 77
-1 25093 31
-1 19669 8
-1 36729 331
-1 20370 50
-1 13206 2
-1 22348 298
-1 23960 32
-1 19910 5
-1 2455 59
-1 23258 81
-1 5346 152
-1 25580 57
-1 39371 70
-1 10459 27
-1 37214 278
-1 11473 69
-1 23751 85
-1 32588 128
-1 29081 30
-1 37534 30
-1 17762 11
-1 24504 184
-1 24564 76
-1 13538 90
-1 20364 136
-1 24338 101
-1 40233 122
-1 27898 22
-1 35309 27
-1 8561 75
-1 71 151
-1 25343 55
-1 26211 4
-1 11775 48
-1 32138 131
-1 2170 13
-1 25314 102
-1 21841 170
-1 17796 150
-1 21098 53
-1 14055 5
-1 26590 19
-1 2023 20
-1 15663 57
