label imagenumber objectnumber
+1 733 67
+1 733 47
+1 733 6
+1 734 45
+1 734 66
+1 734 61
+1 734 86
+1 735 99
+1 736 16
+1 736 17
+1 736 72
+1 736 50
+1 736 4
+1 736 101
+1 736 11
+1 736 24
+1 736 54
+1 736 16
+1 736 69
+1 736 61
+1 28150 40
+1 15795 299
+1 35498 50
+1 25893 2
+1 13195 69
+1 28561 72
+1 38149 19
+1 28595 1
+1 130 10
+1 8033 58
+1 17297 18
+1 8806 115
+1 37893 13
+1 14288 64
+1 40258 77
+1 130 10
+1 4193 96
+1 39681 44
+1 7323 10
+1 26645 103
+1 17390 138
+1 37297 24
+1 27390 117
+1 15866 61
+1 35921 88
+1 14166 62
+1 37574 491
+1 19025 6
+1 3850 39
+1 27795 50
+1 37317 123
+1 22567 14
+1 6486 20
+1 3302 12
+1 8182 21
+1 9066 30
+1 28235 43
+1 7498 35
+1 25814 21
+1 6612 49
+1 31690 21
-1 733 10
-1 734 58
-1 734 109
-1 735 42
-1 735 65
-1 735 2
-1 736 83
-1 736 37
-1 736 1
-1 736 33
-1 29497 6
-1 7527 13
-1 28014 12
-1 8902 75
-1 7977 48
-1 1078 37
-1 4462 112
-1 19614 96
-1 37959 110
-1 7027 63
-1 12968 78
-1 26394 15
-1 20406 218
-1 12431 182
-1 5542 48
-1 28195 160
-1 4801 70
-1 34692 34
-1 14528 43
-1 28749 68
-1 9279 103
-1 22146 218
-1 39565 105
-1 3263 7
-1 25985 5
-1 19308 11
-1 11162 42
-1 14261 41
-1 7860 71
-1 6775 41
-1 14294 76
-1 1278 12
-1 28940 15
-1 2237 74
-1 18598 3
-1 27773 153
-1 22573 29
-1 10217 44
-1 28398 38
-1 25496 6
-1 7152 23
-1 28168 38
-1 38158 36
-1 419 281
-1 18954 155
-1 39314 47
-1 40103 262
-1 18868 40
-1 30103 99
-1 28617 29
-1 36518 28
-1 6804 58
-1 28091 88
-1 39609 81
-1 12808 14
-1 17811 244
-1 5009 11
-1 6790 150
-1 2515 294
-1 32520 109
-1 22338 24
-1 33776 113
-1 27201 107
-1 40522 106
-1 34198 28
-1 12896 157
-1 8671 25
-1 8671 80
-1 8671 87
-1 8672 31
-1 8671 19
-1 8671 77
-1 8670 13
-1 8669 24
-1 5625 83
-1 30759 122
-1 19625 20
-1 5047 48
-1 22230 17
-1 21638 59
-1 4002 31
-1 4349 28
-1 5111 76
-1 2837 3
-1 30548 18
-1 6943 49
-1 25907 27
-1 7863 133
-1 25005 35
-1 5930 68
-1 7756 52
-1 3400 92
-1 22653 8
-1 24428 38
-1 24041 89
-1 5372 2
-1 9948 37
-1 26707 43
-1 5391 2
-1 7038 58
-1 6535 10
-1 27706 4
-1 3748 75
-1 4192 66
-1 10027 202
-1 25180 29
-1 38747 81
-1 26845 67
-1 4108 42
-1 13106 55
-1 38742 11
-1 3793 3
-1 8058 65
-1 21854 22
-1 5284 11
-1 4819 117
-1 3640 8
-1 5658 68
-1 5658 8
-1 5659 3
-1 5659 88
-1 5659 52
-1 5659 10
-1 5659 93
-1 5659 60
-1 5659 6
-1 22438 108
-1 38196 34
-1 5832 45
-1 26845 67
-1 22619 55
-1 1150 56
-1 3383 129
-1 3673 30
-1 3190 24
-1 4012 41
-1 14901 5
-1 5487 2
-1 5883 18
-1 19303 6
-1 31613 31
-1 6487 8
-1 40357 19
-1 31106 52
-1 594 54
-1 10503 146
-1 5153 31
-1 9537 7
-1 37981 20
-1 4267 70
-1 3599 14
-1 36397 44
-1 5168 6
-1 3199 68
-1 10132 66
-1 5477 102
-1 8482 70
-1 6749 29
-1 8234 59
-1 11967 72
-1 8718 36
-1 19518 47
