label imagenumber objectnumber
+1 38504 211
+1 23754 301
+1 27363 155
+1 32781 114
+1 13183 3
+1 5048 56
+1 37293 589
+1 37004 137
+1 27578 61
+1 24514 219
+1 42127 493
+1 20788 400
+1 21037 540
+1 28466 107
+1 41166 101
+1 16400 62
+1 42309 185
+1 25156 427
+1 32081 147
+1 33350 23
+1 33707 122
+1 3999 33
+1 16459 69
+1 10835 192
+1 36656 181
+1 21595 148
+1 41616 459
+1 20196 171
+1 1121 206
+1 29895 594
+1 32647 65
+1 41517 195
+1 18619 19
+1 29949 242
+1 1548 229
+1 30997 9
+1 5629 211
+1 30834 240
+1 22258 380
+1 11375 76
+1 16048 297
+1 25461 15
+1 2747 50
+1 24898 12
+1 28881 173
+1 2982 79
+1 38972 17
+1 21882 37
+1 14825 123
+1 30606 254
+1 22286 40
+1 32308 250
+1 5278 106
+1 12731 588
+1 35953 74
+1 38835 500
+1 7716 121
+1 30516 176
+1 4056 132
+1 5957 43
+1 35419 63
+1 28878 104
+1 25566 125
+1 31447 162
+1 35150 49
+1 42253 45
+1 41781 508
+1 28804 19
+1 37782 440
+1 36447 77
+1 4640 63
+1 34290 281
+1 17948 77
+1 17170 33
+1 17170 70
+1 17170 45
+1 17170 8
+1 34482 13
+1 34482 106
+1 42270 436
+1 23917 78
+1 28478 73
+1 34482 13
+1 39666 121
+1 8843 103
+1 8843 24
+1 8843 56
+1 8843 44
+1 14954 23
+1 3970 24
+1 3970 16
+1 3971 67
+1 3971 41
+1 3971 13
+1 3972 20
+1 3972 5
+1 3970 17
+1 3972 40
+1 3972 25
+1 3971 59
+1 3971 31
+1 30516 175
+1 30097 190
+1 29613 84
+1 40476 144
+1 8948 7
+1 39592 112
+1 42028 115
+1 7351 32
+1 7758 35
+1 13732 7
+1 16055 158
+1 37342 277
+1 33644 269
+1 7342 45
+1 19151 5
+1 21098 107
+1 40913 185
+1 25940 8
+1 39373 317
+1 37263 467
+1 14038 38
+1 12339 76
+1 38727 678
+1 42340 444
