label imagenumber objectnumber
+1 26699 25
+1 30913 56
+1 32482 252
+1 5217 111
+1 4978 159
+1 24294 180
+1 31421 505
+1 19467 27
+1 38847 31
+1 38728 284
+1 20073 83
+1 8765 65
+1 29790 392
+1 24636 10
+1 10418 289
+1 4511 18
+1 5840 158
+1 11196 81
+1 32172 114
+1 28896 57
+1 27476 227
+1 26507 192
+1 30017 108
+1 30646 21
+1 7259 218
+1 260 43
+1 34785 453
+1 32498 257
+1 377 14
+1 10388 136
+1 23748 417
+1 40969 29
+1 21176 95
+1 27528 121
+1 33235 112
+1 30560 71
+1 19466 206
+1 19466 117
+1 19466 151
+1 36503 154
+1 36503 52
+1 14997 65
+1 20789 56
+1 34530 68
+1 34530 112
+1 34530 102
+1 34530 158
+1 34531 33
+1 34531 43
+1 3783 316
+1 3783 321
+1 20790 166
+1 20790 98
+1 20790 46
+1 20790 154
+1 20790 18
+1 19465 115
+1 19465 162
+1 19465 145
+1 19465 29
+1 19465 107
+1 19465 154
+1 19465 188
+1 19465 54
+1 19465 7
+1 19468 130
+1 19468 150
+1 19468 120
+1 19468 32
+1 19468 109
+1 19468 86
+1 19468 80
+1 19468 121
+1 19468 130
+1 19468 78
+1 19467 111
+1 19467 182
+1 19467 78
+1 19467 51
+1 19467 150
+1 19467 69
+1 19467 130
+1 42612 414
+1 6523 7
+1 3486 47
+1 15776 357
+1 37662 10
+1 6640 59
+1 21749 116
+1 39153 88
+1 24307 223
+1 27581 88
+1 33006 518
+1 41648 622
+1 28308 37
+1 42172 255
+1 29491 271
+1 40219 185
+1 31306 202
+1 27884 5
+1 24929 30
+1 10444 166
+1 24826 15
+1 34914 274
+1 32526 20
+1 24414 428
+1 25083 32
+1 23372 206
+1 34538 55
+1 29828 2
+1 19095 13
+1 42456 461
+1 29428 29
+1 35853 42
+1 41802 165
+1 22488 38
+1 13215 192
+1 34373 235
+1 19586 103
+1 18628 112
+1 19279 16
+1 32475 76
+1 38961 172
+1 29189 16
+1 19154 221
+1 42385 588
+1 29754 3
+1 35376 70
+1 24171 155
+1 39564 77
+1 36995 688
+1 21165 109
+1 26341 64
+1 36066 89
+1 32471 98
+1 18865 166
+1 23495 739
+1 25586 19
+1 26986 12
+1 32901 62
+1 39016 329
+1 25717 7
+1 27888 449
+1 30088 69
+1 39253 107
+1 33270 127
+1 33151 648
+1 32830 488
+1 28901 155
+1 4056 172
+1 14414 42
+1 33849 11
+1 19280 131
+1 36239 122
+1 26164 395
+1 42385 196
+1 9858 78
+1 39503 345
+1 35958 192
+1 30022 34
+1 37586 110
+1 38424 99
+1 41943 36
+1 37191 228
+1 31645 85
+1 30021 77
+1 27912 17
+1 19466 144
+1 38410 87
+1 8750 132
+1 17574 16
+1 37043 258
+1 36423 104
+1 6306 141
+1 31940 147
+1 34316 1
+1 19742 163
+1 23363 606
+1 14505 111
+1 38767 71
+1 42163 526
+1 30339 94
+1 28642 173
+1 29697 70
+1 35069 42
+1 19459 100
+1 31276 212
+1 23223 614
+1 10289 107
+1 39646 121
+1 41806 128
+1 30392 68
+1 32613 168
+1 27686 167
+1 37807 76
+1 40074 14
+1 22835 70
+1 23443 174
+1 22205 20
+1 42547 94
+1 32068 63
+1 25030 20
+1 435 570
+1 36260 346
+1 36143 501
+1 17195 192
+1 4285 38
+1 13027 21
+1 38612 130
+1 4102 10
+1 5230 135
+1 29758 1
+1 28506 89
+1 20791 3
+1 4652 73
+1 42375 54
+1 23443 108
+1 8914 175
+1 23960 88
+1 19121 63
+1 18899 68
+1 26683 8
+1 32613 196
+1 32524 564
+1 30994 84
+1 14804 531
+1 20287 344
+1 17059 375
+1 37127 453
+1 35752 405
+1 12344 30
+1 41446 199
+1 22690 146
+1 27423 21
+1 9467 56
+1 9356 139
+1 30016 71
+1 42857 223
+1 31495 249
+1 29911 126
+1 32500 405
+1 5634 26
+1 27163 167
+1 27281 14
+1 29007 66
+1 42917 333
+1 1131 61
+1 35829 45
+1 33724 83
+1 36501 77
+1 41839 606
+1 37395 163
+1 6872 78
+1 6306 141
+1 28611 15
+1 41091 57
+1 6560 95
+1 30023 74
+1 40149 2
+1 41934 412
+1 2038 67
+1 11058 234
+1 28973 135
+1 17186 26
+1 30582 126
+1 25792 21
+1 31123 74
+1 25130 35
+1 29271 528
+1 29623 95
+1 20572 266
+1 24062 447
+1 36501 7
+1 25477 47
+1 11000 19
+1 39198 95
+1 10093 30
+1 26069 95
+1 20792 66
+1 39200 168
+1 36065 49
+1 15659 27
+1 23791 377
+1 19467 27
+1 4533 90
+1 15985 102
+1 17694 56
+1 4258 61
+1 35594 45
+1 23790 105
+1 1364 16
+1 25480 69
+1 25826 89
+1 40681 16
+1 4845 9
+1 37452 24
+1 40084 60
+1 13665 173
+1 33580 174
+1 39864 96
+1 14359 17
+1 42836 192
+1 42270 60
+1 3681 2
+1 907 107
+1 36502 32
+1 11573 51
+1 26515 52
+1 4706 70
+1 30996 198
+1 40528 220
+1 12122 81
+1 21826 184
+1 32503 55
+1 33393 309
+1 36310 86
+1 19466 123
+1 9056 9
+1 40875 72
+1 32503 55
+1 35376 162
+1 33692 87
+1 27247 2
+1 39201 177
+1 36351 149
+1 38668 9
+1 22462 206
+1 22764 313
+1 39572 232
+1 9483 344
+1 9867 48
+1 5504 21
+1 21752 24
+1 4843 2
+1 36881 51
+1 5604 98
+1 543 6
+1 8920 14
+1 29549 160
+1 35637 102
+1 4107 85
+1 133 48
+1 30271 100
+1 41455 263
+1 5772 105
+1 22420 113
+1 13139 128
+1 41519 11
+1 41701 74
