label imagenumber objectnumber
+1 42772 299
+1 16262 69
+1 13565 51
+1 30307 188
+1 33690 469
+1 34381 352
+1 41772 335
+1 31570 188
+1 37351 117
+1 37482 607
+1 39900 152
+1 33478 193
+1 18946 144
+1 40067 487
+1 8828 68
+1 27015 306
+1 9859 60
+1 23207 524
+1 40850 36
+1 30739 313
+1 5127 82
+1 41511 384
+1 25122 27
+1 13668 202
+1 33629 68
+1 34707 529
+1 24305 46
+1 10530 6
+1 37155 257
+1 30321 287
+1 15686 348
+1 41772 346
+1 27862 125
+1 34730 611
+1 9513 46
+1 23294 352
+1 679 125
+1 42161 581
+1 32758 549
+1 30896 368
+1 28170 132
+1 31141 138
+1 26843 539
+1 39003 361
+1 39281 100
+1 20366 372
+1 39964 182
+1 11732 139
+1 10108 2
+1 12887 44
+1 37231 147
+1 3806 24
+1 41686 251
+1 24230 400
+1 7171 141
+1 41880 452
+1 33117 144
+1 31936 230
+1 31131 33
+1 36784 254
+1 21258 55
+1 39507 559
+1 24454 78
+1 33983 365
+1 15482 2
+1 35739 435
+1 29763 186
+1 34624 233
+1 41639 595
+1 12781 116
+1 28711 228
+1 35725 311
+1 33008 390
+1 42002 176
+1 24292 78
+1 32921 246
+1 32191 118
+1 3634 32
+1 30279 473
+1 6407 241
+1 31472 556
+1 41787 390
+1 37732 199
+1 9071 130
+1 29074 209
+1 27907 432
+1 4149 73
+1 40567 242
+1 7280 173
+1 35463 580
+1 37648 372
+1 32958 649
+1 30588 71
+1 37387 60
+1 32034 315
+1 22203 428
+1 33307 421
+1 27113 10
+1 36886 46
+1 18957 128
+1 42480 262
+1 31509 82
+1 32123 64
+1 42597 364
+1 41637 41
+1 40263 662
+1 40260 276
+1 42155 454
+1 29884 361
+1 29814 345
+1 20694 276
+1 20510 247
+1 9266 105
+1 42173 377
+1 42839 250
+1 24124 547
+1 26316 7
+1 30154 54
+1 24169 233
+1 39691 187
+1 21720 449
+1 32269 136
+1 31030 217
+1 16496 109
+1 36982 156
+1 23777 206
+1 32905 90
+1 39035 184
+1 24298 123
+1 23600 62
+1 24375 350
+1 39200 72
+1 23614 424
+1 23600 145
+1 34531 106
+1 23231 261
+1 23790 183
+1 25566 232
+1 29657 122
+1 24000 27
+1 34531 106
+1 23232 144
+1 27482 47
+1 24557 111
+1 10290 8
+1 23605 91
+1 35934 50
+1 23799 463
+1 23223 315
+1 19791 4
+1 31864 86
+1 36958 279
+1 23600 62
+1 24000 27
+1 23556 427
+1 21923 316
-1 24167 302
-1 24167 75
-1 24167 338
-1 24167 30
-1 24167 310
-1 24167 214
-1 24167 202
-1 24167 214
-1 24167 310
-1 24167 30
-1 24167 223
-1 24167 202
-1 24167 481
-1 24167 108
-1 24167 337
-1 24167 481
-1 24167 337
-1 24167 373
-1 24167 188
-1 24167 148
-1 24167 28
-1 24167 426
-1 24167 80
-1 24167 108
-1 24167 93
-1 24167 351
-1 24167 437
-1 24167 70
-1 24167 188
-1 24167 47
-1 24167 235
-1 24167 198
-1 24167 214
-1 24167 284
-1 24167 379
-1 24167 235
-1 24167 418
-1 24167 252
-1 24167 220
-1 24167 187
-1 16110 54
-1 18674 26
-1 14583 59
-1 33243 132
-1 16297 266
-1 13077 133
-1 11798 20
-1 37247 23
-1 23204 203
-1 32439 738
-1 41219 55
-1 9797 87
-1 10195 341
-1 5927 68
-1 21839 367
-1 23498 111
-1 6984 19
-1 38802 75
-1 31549 14
-1 29969 105
-1 37012 261
-1 6524 5
-1 21863 49
-1 31917 148
-1 5795 339
-1 27893 82
-1 37861 32
-1 27269 63
-1 11193 159
-1 38136 79
-1 31604 210
-1 4565 44
-1 23801 55
-1 34502 402
-1 15560 51
-1 7762 66
-1 30377 133
-1 34280 89
-1 40445 174
-1 2145 49
-1 32667 82
-1 39598 329
-1 33000 444
-1 41201 118
-1 15813 5
-1 24704 115
-1 37539 345
-1 25116 22
-1 42611 465
-1 13177 64
-1 38965 12
-1 40658 1
-1 23614 471
-1 22533 93
-1 16440 255
-1 33045 8
-1 42049 71
-1 23742 236
-1 19622 9
-1 23220 128
-1 19388 51
-1 14285 36
-1 636 24
-1 8185 82
-1 3964 115
-1 18091 284
-1 36293 61
-1 40740 40
-1 8654 82
-1 24270 484
-1 37922 132
-1 22565 25
-1 33625 28
-1 41141 131
-1 20210 138
-1 9593 95
-1 14846 120
-1 36779 49
-1 23536 278
-1 35116 43
-1 914 125
-1 31106 35
-1 27779 244
-1 8846 59
