"","Sensitivity","Specificity","Pos_Pred_Value","Neg_Pred_Value","Prevalence","Detection_Rate","Detection_Prevalence","Balanced_Accuracy","class"
"Class: anaphase",0.476190476190476,0.989736724676484,0.465116279069766,0.990178571428571,0.0183968462549277,0.00876040297853701,0.0188348664038546,0.73296360043348,"anaphase"
"Class: apoptotic",0.6,0.987799367374605,0.608695652173913,0.987353206865402,0.0306614104248795,0.0183968462549277,0.0302233902759527,0.793899683687302,"apoptotic"
"Class: blurry",0.387596899224806,0.982822655524605,0.57471264367816,0.964025500910747,0.0565045992115637,0.0219010074463425,0.038107752956636,0.685209777374706,"blurry"
"Class: debris",0.661016949152542,0.996402877697842,0.829787234042554,0.991055456171735,0.0258431887866842,0.0170827858081472,0.020586946999562,0.828709913425192,"debris"
"Class: earlyprophase",0.24,0.989813994685562,0.206896551724137,0.991570541259982,0.0109505037231713,0.0026281208935611,0.0127025843188787,0.614906997342781,"earlyprophase"
"Class: elongated",0.65,0.974141774409273,0.30952380952381,0.993633469758981,0.017520805957074,0.0113885238720981,0.0367936925098555,0.812070887204637,"elongated"
"Class: fragmented",0.313559322033898,0.971824480369515,0.377551020408163,0.962929061784897,0.0516863775733684,0.0162067455102935,0.0429259745948314,0.642691901201707,"fragmented"
"Class: halfcircle",0.323529411764706,0.962650066696309,0.115789473684211,0.989488117001828,0.0148926850635129,0.00481822163819536,0.0416119141480508,0.643089739230508,"halfcircle"
"Class: holey",0.414634146341463,0.924620874219447,0.0913978494623656,0.988555078683834,0.0179588261060009,0.00744634253175646,0.0814717477003942,0.669627510280455,"holey"
"Class: indented",0.15,0.979045920641997,0.113207547169811,0.9847533632287,0.017520805957074,0.0026281208935611,0.0232150678931231,0.564522960320999,"indented"
"Class: interphase",0.174002047082907,0.966309341500766,0.794392523364486,0.609956500724988,0.427945685501533,0.0744634253175646,0.093736311870346,0.570155694291836,"interphase"
"Class: kidney",0.305555555555556,0.974632843791722,0.161764705882353,0.988713318284424,0.0157687253613666,0.00481822163819536,0.0297853701270258,0.640094199673639,"kidney"
"Class: latepro_earlyana",0.787878787878788,0.978666666666667,0.351351351351351,0.996831145314622,0.0144546649145861,0.0113885238720981,0.0324134910205869,0.883272727272727,"latepro_earlyana"
"Class: latetelophase",0.695652173913043,0.978319783197832,0.5,0.99039780521262,0.0302233902759527,0.0210249671484888,0.0420499342969777,0.836985978555438,"latetelophase"
"Class: lines",0.928571428571429,1,1,0.998663101604278,0.0183968462549277,0.0170827858081472,0.0170827858081472,0.964285714285714,"lines"
"Class: metaphase",0.864864864864865,0.995547640249332,0.761904761904763,0.99776885319054,0.0162067455102935,0.0140166447656592,0.0183968462549277,0.930206252557099,"metaphase"
"Class: micronucleus",0.0967741935483871,0.987843313822602,0.181818181818182,0.975111111111111,0.0271572492334647,0.0026281208935611,0.0144546649145861,0.542308753685495,"micronucleus"
"Class: monopole",0.428571428571429,0.985809312638581,0.272727272727273,0.992853952657436,0.0122645641699518,0.00525624178712221,0.0192728865527814,0.707190370605005,"monopole"
"Class: multinucleate",0.616279069767442,0.962221210741921,0.389705882352941,0.984629715882627,0.0376697328077092,0.0232150678931231,0.0595707402540517,0.789250140254681,"multinucleate"
"Class: nucleolirim",0.446808510638298,0.897137745974955,0.0836653386454183,0.987204724409449,0.020586946999562,0.00919842312746386,0.10994305738064,0.671973128306627,"nucleolirim"
"Class: prophase",0.644859813084112,0.964613970588235,0.472602739726027,0.982218062704726,0.046868155935173,0.0302233902759527,0.0639509417433202,0.804736891836174,"prophase"
"Class: round",0.75,0.904047294224648,0.22992700729927,0.989547038327526,0.0367936925098555,0.0275952693823916,0.120017520805957,0.827023647112324,"round"
"Class: telophase",0.688311688311688,0.990027198549411,0.706666666666666,0.989130434782609,0.0337275514673675,0.0232150678931231,0.0328515111695138,0.839169443430549,"telophase"
